Lp., Izba administracji skarbowej Urząd skarbowy Urząd celno-skarbowy Delegatura urzędu celno-skarbowego Oddział celny, Kod identyfikacyjny
12, Urząd Skarbowy w Sulęcinie,0813
13, Urząd Skarbowy we Wschowie,0814
14, Lubuski Urząd Skarbowy w Zielonej Górze,0871
15, Lubuski Urząd Celno-Skarbowy w Gorzowie Wielkopolskim,418000
1), Delegatura UCS w Zielonej Górze,411000
a), Oddział Celny w Zielonej Górze,411010
b), Oddział Celny w Olszynie,411020
2), Delegatura UCS w Rzepinie,412000
a), Oddział Celny w Gorzowie Wielkopolskim,412010
b), Oddział Celny w Świecku,412020
XIII, IZBA ADMINISTRACJI SKARBOWEJ W SZCZECINIE,3201
1, Urząd Skarbowy w Białogardzie,3202
2, Urząd Skarbowy w Choszcznie,3203
3, Urząd Skarbowy w Drawsku Pomorskim,3204
4, Urząd Skarbowy w Goleniowie,3205
5, Urząd Skarbowy w Gryficach,3206
6, Urząd Skarbowy w Gryfinie,3207
7, Urząd Skarbowy w Kamieniu Pomorskim,3208
8, Urząd Skarbowy w Kołobrzegu,3209
9, Pierwszy Urząd Skarbowy w Koszalinie,3210
10, Drugi Urząd Skarbowy w Koszalinie,3211
11, Urząd Skarbowy w Myśliborzu,3212
12, Urząd Skarbowy w Pyrzycach,3213
13, Urząd Skarbowy w Stargardzie,3214
14, Pierwszy Urząd Skarbowy w Szczecinie,3215
15, Drugi Urząd Skarbowy w Szczecinie,3216
16, Trzeci Urząd Skarbowy w Szczecinie,3217
17, Urząd Skarbowy w Szczecinku,3218
18, Urząd Skarbowy w Świnoujściu,3219
19, Urząd Skarbowy w Wałczu,3220
20, Zachodniopomorski Urząd Skarbowy w Szczecinie,3271
21, Zachodniopomorski Urząd Celno-Skarbowy w Szczecinie,428000
1), Delegatura UCS w Szczecinie,421000
a), Oddział Celny w Szczecinie,421010
b)," Oddział Celny ""Nabrzeże Łasztownia"" w Szczecinie",421030
c), Oddział Celny Port Lotniczy Szczecin-Goleniów,421050
d), Oddział Celny w Stargardzie,421060
e), Oddział Celny w Świnoujściu,421080
2), Delegatura UCS w Koszalinie,422000
a), Oddział Celny w Koszalinie,422010
b), Oddział Celny w Kołobrzegu,422020
c), Oddział Celny w Szczecinku,422030
XIV, IZBA ADMINISTRACJI SKARBOWEJ W BYDGOSZCZY,0401
1, Urząd Skarbowy w Aleksandrowie Kujawskim,0402
2, Urząd Skarbowy w Brodnicy,0403
3, Pierwszy Urząd Skarbowy w Bydgoszczy,0404
4, Drugi Urząd Skarbowy w Bydgoszczy,0405
5, Trzeci Urząd Skarbowy w Bydgoszczy,0406
6, Urząd Skarbowy w Chełmnie,0407
7, Urząd Skarbowy w Grudziądzu,0408
8, Urząd Skarbowy w Inowrocławiu,0409
9, Urząd Skarbowy w Lipnie,0410
10, Urząd Skarbowy w Mogilnie,0411
11, Urząd Skarbowy w Nakle Nad Notecią,0412
12, Urząd Skarbowy w Radziejowie,0413
13, Urząd Skarbowy w Rypinie,0414
14, Urząd Skarbowy w Świeciu,0415
15, Pierwszy Urząd Skarbowy w Toruniu,0416
16, Drugi Urząd Skarbowy w Toruniu,0417
17, Urząd Skarbowy w Tucholi,0418
18, Urząd Skarbowy w Wąbrzeźnie,0419
19, Urząd Skarbowy we Włocławku,0420
20, Urząd Skarbowy w Żninie,0421
21, Urząd Skarbowy w Golubiu-Dobrzyniu,0422
22, Urząd Skarbowy w Sępólnie Krajeńskim,0423
23, Kujawsko-Pomorski Urząd Skarbowy w Bydgoszczy,0471
24, Kujawsko-Pomorski Urząd Celno-Skarbowy w Toruniu,438000
1), Delegatura UCS w Bydgoszczy,431000
a), Oddział Celny II w Bydgoszczy,431020
b), Oddział Celny w Inowrocławiu,431030
2), Delegatura UCS w Toruniu,432000
a), Oddział Celny w Toruniu,432010
b), Oddział Celny we Włocławku,432030
c), Oddział Celny w Grudziądzu,432040
XV, IZBA ADMINISTRACJI SKARBOWEJ W WARSZAWIE,1401
1, Urząd Skarbowy w Białobrzegach,1402
2, Urząd Skarbowy w Ciechanowie,1403
3, Urząd Skarbowy w Garwolinie,1404
4, Urząd Skarbowy w Gostyninie,1405
5, Urząd Skarbowy w Grodzisku Mazowieckim,1406
6, Urząd Skarbowy w Grójcu,1407
7, Urząd Skarbowy w Kozienicach,1408
8, Urząd Skarbowy w Legionowie,1409
9, Urząd Skarbowy w Łosicach,1410
10, Urząd Skarbowy w Makowie Mazowieckim,1411
11, Urząd Skarbowy w Mińsku Mazowieckim,1412
12, Urząd Skarbowy w Mławie,1413
13, Urząd Skarbowy w Nowym Dworze Mazowieckim,1414
14, Urząd Skarbowy w Ostrołęce,1415
15, Urząd Skarbowy w Ostrowi Mazowieckiej,1416
16, Urząd Skarbowy w Otwocku,1417
17, Urząd Skarbowy w Piasecznie,1418
18, Urząd Skarbowy w Płocku,1419
19, Urząd Skarbowy w Płońsku,1420
20, Urząd Skarbowy w Pruszkowie,1421
21, Urząd Skarbowy w Przasnyszu,1422
22, Urząd Skarbowy w Pułtusku,1423
23, Pierwszy Urząd Skarbowy w Radomiu,1424
24, Drugi Urząd Skarbowy w Radomiu,1425
25, Urząd Skarbowy w Siedlcach,1426
26, Urząd Skarbowy w Sierpcu,1427
27, Urząd Skarbowy w Sochaczewie,1428
28, Urząd Skarbowy w Sokołowie Podlaskim,1429
29, Urząd Skarbowy w Szydłowcu,1430
30, Urząd Skarbowy Warszawa-Bemowo,1431
31, Urząd Skarbowy Warszawa-Bielany,1432
32, Urząd Skarbowy Warszawa-Mokotów,1433
33, Urząd Skarbowy Warszawa-Praga,1434
34, Pierwszy Urząd Skarbowy Warszawa-Śródmieście,1435
35, Drugi Urząd Skarbowy Warszawa-Śródmieście,1436
36, Urząd Skarbowy Warszawa-Targówek,1437
37, Urząd Skarbowy Warszawa-Ursynów,1438
38, Urząd Skarbowy Warszawa-Wawer,1439
39, Urząd Skarbowy Warszawa-Wola,1440
40, Urząd Skarbowy w Węgrowie,1441
41, Urząd Skarbowy w Wołominie,1442
42, Urząd Skarbowy w Wyszkowie,1443
43, Urząd Skarbowy w Zwoleniu,1444
44, Urząd Skarbowy w Żurominie,1445
45, Urząd Skarbowy w Żyrardowie,1446
46, Urząd Skarbowy w Lipsku,1447
47, Urząd Skarbowy w Przysusze,1448
48, Trzeci Urząd Skarbowy Warszawa-Śródmieście,1449
49, Pierwszy Mazowiecki Urząd Skarbowy w Warszawie,1471
